beruf,label_de,label_en,in_kldb88,kldb88_de,kldb88_2,kldb88_2_de,kldb88_1,kldb88_1_de,n_siab
11,Landwirte,Farmers,TRUE,Landwirte,1,Landwirte,I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",705
12,Weinbauern,Winegrowers,TRUE,Weinbauern,1,Landwirte,I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",85
21,Tierzuechter,Animal breeders,TRUE,Tierzüchter,2,"Tierzüchter, Fischereiberufe",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",183
22,Fischer,Fishermen,TRUE,Fischer,2,"Tierzüchter, Fischereiberufe",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",27
31,Verwalter in der Landwirtschaft und Tierzucht,Managers in agriculture and animal breeding,TRUE,Verwalter in der Landwirtschaft und Tierzucht,3,"Verwalter, Berater in der Landwirtschaft und Tierzucht",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",68
32,"Agraringenieure, Landwirtschaftsberater","Agricultural engineers, agriculture advisors",TRUE,"Agraringenieure, Landwirtschaftsberater",3,"Verwalter, Berater in der Landwirtschaft und Tierzucht",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",165
41,Landarbeitskraefte,Land workers,TRUE,Landarbeitskräfte,4,"Landwirtschaftliche Arbeitskräfte, Tierpfleger",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",3237
42,Melker,Milkers,TRUE,Melker,4,"Landwirtschaftliche Arbeitskräfte, Tierpfleger",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",46
43,"Familieneigene Landarbeitskraefte, a.n.g.","Family-member land workers, n.e.c.",TRUE,"Familieneigene Landarbeitskräfte, a.n.g.",4,"Landwirtschaftliche Arbeitskräfte, Tierpfleger",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",30
44,Tierpfleger und verwandte Berufe,Animal keepers and related occupations,TRUE,Tierpfleger und verwandte Berufe,4,"Landwirtschaftliche Arbeitskräfte, Tierpfleger",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",346
51,"Gaertner, Gartenarbeiter","Gardeners, garden workers",TRUE,"Gärtner, Gartenarbeiter",5,Gartenbauer,I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",3736
52,"Gartenarchitekten, Gartenverwalter","Garden architects, garden managers",TRUE,"Gartenarchitekten, Gartenverwalter",5,Gartenbauer,I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",202
53,Floristen,Florists,TRUE,Floristen,5,Gartenbauer,I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",456
61,"Forstverwalter, Foerster, Jaeger","Forestry managers, foresters, hunters",TRUE,"Forstverwalter, Förster, Jäger",6,"Forst-, Jagdberufe",I,"Pflanzenbauer, Tierzüchter, Fischereiberufe",95
