year,east,limit_marginal
1975,0,5.884969552568474
1976,0,6.493406891191975
1977,0,7.142747580311172
1978,0,6.554761916935521
1979,0,6.554761916935521
1980,0,6.539423160499634
1981,0,6.554761916935521
1982,0,6.554761916935521
1983,0,6.554761916935521
1984,0,6.539423160499634
1985,0,6.723488237730273
1986,0,6.892214558525025
1987,0,7.2296672001145295
1988,0,7.377941845661432
1989,0,7.562006922892071
1990,0,7.8994595644815755
1991,0,8.068185885276327
1992,0,8.380073932806022
1993,0,8.906704570438126
1994,0,9.412883532822383
1995,0,9.750336174411887
1996,0,9.888384982334866
1997,0,10.25140221798418
1998,0,10.420128538778933
1999,0,10.588854859573685
2000,0,10.563290265513874
2001,0,10.588854859573685
2002,0,10.68
2003,0,13.15
2004,0,13.11
2005,0,13.15
2006,0,13.15
2007,0,13.15
2008,0,13.11
2009,0,13.15
2010,0,13.15
2011,0,13.15
2012,0,13.15
2013,0,14.79
2014,0,14.79
2015,0,14.79
2016,0,14.79
2017,0,14.79
1975,1,5.884969552568474
1976,1,6.493406891191975
1977,1,7.142747580311172
1978,1,6.554761916935521
1979,1,6.554761916935521
1980,1,6.539423160499634
1981,1,6.554761916935521
1982,1,6.554761916935521
1983,1,6.554761916935521
1984,1,6.539423160499634
1985,1,6.723488237730273
1986,1,6.892214558525025
1987,1,7.2296672001145295
1988,1,7.377941845661432
1989,1,7.562006922892071
1990,1,7.8994595644815755
1991,1,8.068185885276327
1992,1,5.03111211097079
1993,1,6.554761916935521
1994,1,7.3983935209092815
1995,1,7.8994595644815755
1996,1,8.380073932806022
1997,1,8.743091168455337
1998,1,8.743091168455337
1999,1,10.588854859573685
2000,1,10.563290265513874
2001,1,10.588854859573685
2002,1,10.68
2003,1,13.15
2004,1,13.11
2005,1,13.15
2006,1,13.15
2007,1,13.15
2008,1,13.11
2009,1,13.15
2010,1,13.15
2011,1,13.15
2012,1,13.15
2013,1,14.79
2014,1,14.79
2015,1,14.79
2016,1,14.79
2017,1,14.79
