year,east,limit_assess
1975,0,47.06441766411191
1976,0,51.967706804783646
1977,0,57.1522064801133
1978,0,62.193544428708016
1979,0,67.23999529611469
1980,0,70.40489204071928
1981,0,73.96348353384496
1982,0,79.00482148243968
1983,0,84.0461594310344
1984,0,87.17015282514329
1985,0,90.76964766876466
1986,0,94.13394824703579
1987,0,95.81609853617135
1988,0,100.5813388689201
1989,0,102.53958677390162
1990,0,105.89877443336077
1991,0,109.26307501163188
1992,0,113.99252491269691
1993,0,121.02790119795688
1994,0,127.75138943568716
1995,0,131.11569001395827
1996,0,134.11186043776812
1997,0,137.83917825168854
1998,0,141.1983659111477
1999,0,142.88051620028324
2000,0,144.16897174089775
2001,0,146.24481677855437
2002,0,147.95
2003,0,167.67
2004,0,168.85
2005,0,170.96
2006,0,172.6
2007,0,172.6
2008,0,173.77
2009,0,177.53
2010,0,180.82
2011,0,180.82
2012,0,183.61
2013,0,190.68
2014,0,195.62
2015,0,198.9
2016,0,203.28
2017,0,208.77
1975,1,47.06441766411191
1976,1,51.967706804783646
1977,1,57.1522064801133
1978,1,62.193544428708016
1979,1,67.23999529611469
1980,1,70.40489204071928
1981,1,73.96348353384496
1982,1,79.00482148243968
1983,1,84.0461594310344
1984,1,87.17015282514329
1985,1,90.76964766876466
1986,1,94.13394824703579
1987,1,95.81609853617135
1988,1,100.5813388689201
1989,1,102.53958677390162
1990,1,105.89877443336077
1991,1,109.26307501163188
1992,1,80.46711626266087
1993,1,89.09261029844107
1994,1,99.1752861956305
1995,1,107.58092472249633
1996,1,113.99252491269691
1997,1,119.34575090882132
1998,1,117.66871353849771
1999,1,121.02790119795688
2000,1,119.0236370236677
2001,1,122.71005148709244
2002,1,123.29
2003,1,139.73
2004,1,142.62
2005,1,144.66
2006,1,144.66
2007,1,149.59
2008,1,147.54
2009,1,149.59
2010,1,152.88
2011,1,157.8
2012,1,157.38
2013,1,161.1
2014,1,164.38
2015,1,170.96
2016,1,177.05
2017,1,187.4
