beruf,occ_blo,occ_blo_de,occ_blo_en,label_de,label_en
11,1,AGR-Agrarberufe,AGR-Agricultural occupations,Landwirte,Farmers
12,1,AGR-Agrarberufe,AGR-Agricultural occupations,Weinbauern,Winegrowers
21,1,AGR-Agrarberufe,AGR-Agricultural occupations,Tierzuechter,Animal breeders
22,1,AGR-Agrarberufe,AGR-Agricultural occupations,Fischer,Fishermen
31,11,QVB-Qual. kaufm. u. Verwaltungsberufe,QVB-Skilled com. and admin. occupations,Verwalter in der Landwirtschaft und Tierzucht,Managers in agriculture and animal breeding
32,5,ING-Ingenieure,ING-Engineers,"Agraringenieure, Landwirtschaftsberater","Agricultural engineers, agriculture advisors"
41,1,AGR-Agrarberufe,AGR-Agricultural occupations,Landarbeitskraefte,Land workers
42,1,AGR-Agrarberufe,AGR-Agricultural occupations,Melker,Milkers
43,1,AGR-Agrarberufe,AGR-Agricultural occupations,"Familieneigene Landarbeitskraefte, a.n.g.","Family-member land workers, n.e.c."
44,1,AGR-Agrarberufe,AGR-Agricultural occupations,Tierpfleger und verwandte Berufe,Animal keepers and related occupations
51,1,AGR-Agrarberufe,AGR-Agricultural occupations,"Gaertner, Gartenarbeiter","Gardeners, garden workers"
52,5,ING-Ingenieure,ING-Engineers,"Gartenarchitekten, Gartenverwalter","Garden architects, garden managers"
53,1,AGR-Agrarberufe,AGR-Agricultural occupations,Floristen,Florists
61,1,AGR-Agrarberufe,AGR-Agricultural occupations,"Forstverwalter, Foerster, Jaeger","Forestry managers, foresters, hunters"
62,1,AGR-Agrarberufe,AGR-Agricultural occupations,"Waldarbeiter, Waldnutzer","Forest workers, forest cultivators"
71,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Bergleute,Miners
72,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Maschinen-, Elektro-, Schiesshauer","Mechanical, electrical, face workers, shot firers"
81,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Steinbrecher,Stone crushers
82,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Erden-, Kies-, Sandgewinner","Earth, gravel, sand quarriers"
83,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Erdoel-, Erdgasgewinner","Oil, natural gas quarriers"
91,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Mineralaufbereiter, Mineralbrenner","Mineral preparers, mineral burners"
101,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Steinbearbeiter,Stone preparers
102,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Edelsteinbearbeiter,Jewel preparers
111,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Branntsteinhersteller,"Stoneware, earthenware makers"
112,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Formstein-, Betonhersteller","Shaped brick, concrete block makers"
121,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Keramiker,Ceramics workers
131,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Glasmassehersteller,Frit makers
132,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Hohlglasmacher,Hollow glassware makers
133,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Flachglasmacher,Flat glass makers
134,3,QMB-Qual. manuelle Berufe,QMB-Skilled manual occupations,Glasblaeser (vor der Lampe),Glass blowers (lamps)
135,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Glasbearbeiter, Glasveredler","Glass processors, glass finishers"
141,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Chemiebetriebswerker,Chemical plant operatives
142,3,QMB-Qual. manuelle Berufe,QMB-Skilled manual occupations,Chemielaborwerker,Chemical laboratory workers
143,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Gummihersteller, -verarbeiter","Rubber makers, processors"
144,3,QMB-Qual. manuelle Berufe,QMB-Skilled manual occupations,Vulkaniseure,Vulcanisers
151,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Kunststoffverarbeiter,Plastics processors
161,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,"Papier-, Zellstoffhersteller","Paper, cellulose makers"
162,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Verpackungsmittelhersteller,Packaging makers
163,3,QMB-Qual. manuelle Berufe,QMB-Skilled manual occupations,Buchbinderberufe,Book binding occupations
164,2,EMB-Einfache manuelle Berufe,EMB-Unskilled manual occupations,Sonstige Papierverarbeiter,Other paper products makers
171,3,QMB-Qual. manuelle Berufe,QMB-Skilled manual occupations,Schriftsetzer,"Type setters, compositors"
172,3,QMB-Qual. manuelle Berufe,QMB-Skilled manual occupations,Druckstockhersteller,Printed goods makers
