beruf_gr,kldb92_3,n_kldb92_3
5,141,1
7,151,1
14,221,1
18,241,1
20,261,1
21,262,1
23,273,1
25,281,1
30,311,1
32,314,1
33,321,1
34,322,1
35,323,1
44,452,1
51,501,1
52,511,1
54,521,1
55,522,1
56,531,1
59,601,1
60,602,1
61,603,1
64,621,1
67,628,1
68,629,1
71,635,1
72,681,1
73,682,1
78,701,1
81,714,1
84,741,1
85,742,1
87,751,1
91,773,1
92,774,1
93,781,1
95,784,1
104,853,1
105,854,1
107,856,1
109,862,1
110,864,1
116,913,1
16,225,2
16,226,2
24,274,2
24,275,2
27,285,2
27,286,2
38,391,2
38,392,2
40,411,2
40,412,2
42,441,2
42,442,2
43,451,2
43,453,2
45,461,2
45,462,2
48,481,2
48,482,2
63,611,2
63,612,2
65,622,2
65,623,2
69,631,2
69,632,2
70,633,2
70,634,2
75,687,2
75,688,2
76,691,2
76,692,2
77,693,2
77,694,2
86,743,2
86,744,2
88,752,2
88,753,2
90,771,2
90,772,2
94,782,2
94,783,2
96,791,2
96,792,2
97,793,2
97,794,2
103,851,2
103,852,2
106,855,2
106,857,2
114,901,2
114,902,2
115,911,2
115,912,2
118,931,2
118,932,2
119,933,2
119,934,2
6,142,3
6,143,3
6,144,3
10,175,3
10,176,3
10,177,3
13,211,3
13,212,3
13,213,3
15,222,3
15,223,3
15,224,3
19,251,3
19,252,3
19,263,3
22,270,3
22,271,3
22,272,3
26,282,3
26,283,3
26,284,3
28,291,3
28,301,3
28,302,3
31,312,3
31,313,3
31,315,3
39,401,3
39,402,3
39,403,3
47,470,3
47,471,3
47,472,3
53,512,3
53,513,3
53,514,3
58,547,3
58,548,3
58,549,3
89,761,3
89,762,3
89,763,3
99,821,3
99,822,3
99,823,3
112,875,3
112,876,3
112,877,3
113,881,3
113,882,3
113,883,3
120,935,3
120,936,3
120,937,3
8,161,4
8,162,4
8,163,4
8,164,4
9,171,4
9,172,4
9,173,4
9,174,4
11,181,4
11,182,4
11,183,4
11,184,4
29,303,4
29,304,4
29,305,4
29,306,4
46,463,4
46,464,4
46,465,4
46,466,4
49,483,4
49,484,4
49,485,4
49,486,4
62,604,4
62,605,4
62,606,4
62,607,4
66,624,4
66,625,4
66,626,4
66,627,4
74,683,4
74,684,4
74,685,4
74,686,4
83,731,4
83,732,4
83,733,4
83,734,4
100,831,4
100,832,4
100,833,4
100,834,4
101,835,4
101,836,4
101,837,4
101,838,4
102,841,4
102,842,4
102,843,4
102,844,4
111,871,4
111,872,4
111,873,4
111,874,4
117,921,4
117,922,4
117,923,4
117,924,4
50,491,5
50,492,5
50,502,5
50,503,5
50,504,5
79,702,5
79,703,5
79,704,5
79,705,5
79,706,5
80,711,5
80,712,5
80,713,5
80,715,5
80,716,5
108,861,5
108,863,5
108,891,5
108,892,5
108,893,5
57,541,6
57,542,6
57,543,6
57,544,6
57,545,6
57,546,6
82,721,6
82,722,6
82,723,6
82,724,6
82,725,6
82,726,6
17,231,8
17,232,8
17,233,8
17,234,8
17,235,8
17,242,8
17,243,8
17,244,8
2,51,12
2,52,12
2,53,12
2,54,12
2,55,12
2,56,12
2,57,12
2,58,12
2,59,12
2,60,12
2,61,12
2,62,12
37,351,12
37,352,12
37,353,12
37,354,12
37,355,12
37,356,12
37,357,12
37,358,12
37,359,12
37,360,12
37,361,12
37,362,12
12,191,13
12,192,13
12,193,13
12,194,13
12,195,13
12,196,13
12,197,13
12,198,13
12,199,13
12,200,13
12,201,13
12,202,13
12,203,13
41,421,13
41,422,13
41,423,13
41,424,13
41,425,13
41,426,13
41,427,13
41,428,13
41,429,13
41,430,13
41,431,13
41,432,13
41,433,13
98,801,14
98,802,14
98,803,14
98,804,14
98,805,14
98,806,14
98,807,14
98,808,14
98,809,14
98,810,14
98,811,14
98,812,14
98,813,14
98,814,14
4,121,15
4,122,15
4,123,15
4,124,15
4,125,15
4,126,15
4,127,15
4,128,15
4,129,15
4,130,15
4,131,15
4,132,15
4,133,15
4,134,15
4,135,15
36,331,24
36,332,24
36,333,24
36,334,24
36,335,24
36,336,24
36,337,24
36,338,24
36,339,24
36,340,24
36,341,24
36,342,24
36,343,24
36,344,24
36,345,24
36,346,24
36,371,24
36,372,24
36,373,24
36,374,24
36,375,24
36,376,24
36,377,24
36,378,24
1,11,26
1,12,26
1,13,26
1,14,26
1,15,26
1,16,26
1,17,26
1,18,26
1,19,26
1,20,26
1,21,26
1,22,26
1,23,26
1,24,26
1,25,26
1,26,26
1,27,26
1,28,26
1,29,26
1,30,26
1,31,26
1,32,26
1,41,26
1,42,26
1,43,26
1,44,26
3,71,33
3,72,33
3,73,33
3,74,33
3,75,33
3,76,33
3,77,33
3,78,33
3,79,33
3,80,33
3,81,33
3,82,33
3,83,33
3,84,33
3,85,33
3,86,33
3,87,33
3,88,33
3,89,33
3,90,33
3,91,33
3,101,33
3,102,33
3,103,33
3,104,33
3,105,33
3,106,33
3,107,33
3,108,33
3,109,33
3,110,33
3,111,33
3,112,33
